Episode_Number,person_scene,Line_Count,Total_Lines,Line_Percentage
1,Leonard,124.0,307.0,40.390879478827365
1,Sheldon,103.0,307.0,33.55048859934853
1,Penny,60.0,307.0,19.54397394136808
1,Raj,3.0,307.0,0.9771986970684038
1,Howard,17.0,307.0,5.537459283387622
1,Bernadette,0.0,0.0,0.0
1,Amy,0.0,0.0,0.0
1,Stuart,0.0,0.0,0.0
2,Leonard,83.0,215.0,38.604651162790695
2,Sheldon,70.0,215.0,32.55813953488372
2,Penny,41.0,215.0,19.069767441860467
2,Raj,5.0,215.0,2.3255813953488373
2,Howard,16.0,215.0,7.441860465116279
2,Bernadette,0.0,0.0,0.0
2,Amy,0.0,0.0,0.0
2,Stuart,0.0,0.0,0.0
3,Leonard,103.0,224.0,45.982142857142854
3,Sheldon,49.0,224.0,21.875
3,Penny,38.0,224.0,16.964285714285715
3,Raj,10.0,224.0,4.464285714285714
3,Howard,24.0,224.0,10.714285714285714
3,Bernadette,0.0,0.0,0.0
3,Amy,0.0,0.0,0.0
3,Stuart,0.0,0.0,0.0
4,Leonard,45.0,162.0,27.77777777777778
4,Sheldon,79.0,162.0,48.76543209876543
4,Penny,30.0,162.0,18.51851851851852
4,Raj,2.0,162.0,1.2345679012345678
4,Howard,6.0,162.0,3.7037037037037033
4,Bernadette,0.0,0.0,0.0
4,Amy,0.0,0.0,0.0
4,Stuart,0.0,0.0,0.0
5,Leonard,67.0,176.0,38.06818181818182
5,Sheldon,55.0,176.0,31.25
5,Penny,37.0,176.0,21.022727272727273
5,Raj,6.0,176.0,3.4090909090909087
5,Howard,11.0,176.0,6.25
5,Bernadette,0.0,0.0,0.0
5,Amy,0.0,0.0,0.0
5,Stuart,0.0,0.0,0.0
6,Leonard,76.0,216.0,35.18518518518518
6,Sheldon,68.0,216.0,31.48148148148148
6,Penny,42.0,216.0,19.444444444444446
6,Raj,9.0,216.0,4.166666666666666
6,Howard,21.0,216.0,9.722222222222223
6,Bernadette,0.0,0.0,0.0
6,Amy,0.0,0.0,0.0
6,Stuart,0.0,0.0,0.0
7,Leonard,68.0,241.0,28.21576763485477
7,Sheldon,77.0,241.0,31.950207468879665
7,Penny,55.0,241.0,22.821576763485478
7,Raj,16.0,241.0,6.639004149377594
7,Howard,25.0,241.0,10.37344398340249
7,Bernadette,0.0,0.0,0.0
7,Amy,0.0,0.0,0.0
7,Stuart,0.0,0.0,0.0
8,Leonard,39.0,201.0,19.402985074626866
8,Sheldon,51.0,201.0,25.37313432835821
8,Penny,27.0,201.0,13.432835820895523
8,Raj,63.0,201.0,31.343283582089555
8,Howard,21.0,201.0,10.44776119402985
8,Bernadette,0.0,0.0,0.0
8,Amy,0.0,0.0,0.0
8,Stuart,0.0,0.0,0.0
9,Leonard,72.0,208.0,34.61538461538461
9,Sheldon,59.0,208.0,28.365384615384613
9,Penny,55.0,208.0,26.442307692307693
9,Raj,5.0,208.0,2.403846153846154
9,Howard,17.0,208.0,8.173076923076923
9,Bernadette,0.0,0.0,0.0
9,Amy,0.0,0.0,0.0
9,Stuart,0.0,0.0,0.0
10,Leonard,76.0,201.0,37.81094527363184
10,Sheldon,78.0,201.0,38.80597014925373
10,Penny,34.0,201.0,16.91542288557214
10,Raj,4.0,201.0,1.9900497512437811
10,Howard,9.0,201.0,4.477611940298507
10,Bernadette,0.0,0.0,0.0
10,Amy,0.0,0.0,0.0
10,Stuart,0.0,0.0,0.0
11,Leonard,68.0,221.0,30.76923076923077
11,Sheldon,69.0,221.0,31.221719457013574
11,Penny,42.0,221.0,19.004524886877828
11,Raj,9.0,221.0,4.072398190045249
11,Howard,33.0,221.0,14.93212669683258
11,Bernadette,0.0,0.0,0.0
