Episode_Number,person_scene,Line_Count,Total_Lines,Line_Percentage,index,Unnamed: 0,Season,Air date,Title,Rating,Votes,Plot
1,Leonard,124.0,307.0,40.390879478827365,1,1,1,"
            24 Sep. 2007
    ",Pilot,8.3,"(4,737)","
    A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.    "
1,Leonard,124.0,307.0,40.390879478827365,18,18,2,"
            22 Sep. 2008
    ",The Bad Fish Paradigm,8.3,"(2,983)","
    Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.    "
1,Leonard,124.0,307.0,40.390879478827365,41,41,3,"
            21 Sep. 2009
    ",The Electric Can Opener Fluctuation,8.5,"(2,838)","
    After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.    "
1,Leonard,124.0,307.0,40.390879478827365,64,64,4,"
            23 Sep. 2010
    ",The Robotic Manipulation,8.8,"(3,031)","
    Penny ends up tagging along on Sheldon's first ever date with Amy, while Howard finds an unusual use for a robotic arm.    "
1,Leonard,124.0,307.0,40.390879478827365,88,88,5,"
            22 Sep. 2011
    ",The Skank Reflex Analysis,8.2,"(2,933)","
    The gang deal with the fallout from Penny and Raj's night together.    "
1,Leonard,124.0,307.0,40.390879478827365,112,112,6,"
            27 Sep. 2012
    ",The Date Night Variable,7.7,"(3,158)","
    Raj crashes Sheldon and Amy's second anniversary and interferes in Leonard and Penny's relationship. Howard gets caught in the middle of an argument between Bernadette and his mother.    "
1,Leonard,124.0,307.0,40.390879478827365,136,136,7,"
            26 Sep. 2013
    ",The Hofstadter Insufficiency,7.9,"(2,620)","
    Sheldon and Penny bond over missing Leonard. Howard tries to help Raj get over his breakup with Lucy. Amy and Bernadette take a trip together to a biology convention.    "
1,Leonard,124.0,307.0,40.390879478827365,160,160,8,"
            22 Sep. 2014
    ",The Locomotion Interruption,7.2,"(2,666)","
    Sheldon's trip comes to an end when he is robbed, Penny interviews for a job at Bernadette's company, and Howard is weirded out by his mother's relationship with Stuart.    "
1,Leonard,124.0,307.0,40.390879478827365,184,184,9,"
            21 Sep. 2015
    ",The Matrimonial Momentum,6.8,"(2,623)","
    Penny struggles with Leonard's confession that he kissed another woman as they prepare to get married in Las Vegas. Meanwhile, Sheldon doesn't know what to do after Amy pushes pause on their relationship.    "
1,Leonard,124.0,307.0,40.390879478827365,209,209,10,"
            19 Sep. 2016
    ",The Conjugal Conjecture,7.7,"(2,317)","
    As Leonard and Penny attempt to hold another wedding ceremony everyone can attend, they have to deal with Penny's family arriving and Leonard's father spending the night with Sheldon's mother.    "
1,Leonard,124.0,307.0,40.390879478827365,233,233,11,"
            25 Sep. 2017
    ",The Proposal Proposal,7.6,"(1,879)","
    Amy has trouble deciding whether or not she should marry Sheldon. Meanwhile, Bernadette confides in Penny when she finds out some huge news.    "
1,Leonard,124.0,307.0,40.390879478827365,257,257,12,"
            24 Sep. 2018
    ",The Conjugal Configuration,7.2,"(1,396)","
    After their wedding, Amy and Sheldon go on their honeymoon.    "
1,Sheldon,103.0,307.0,33.55048859934853,1,1,1,"
            24 Sep. 2007
    ",Pilot,8.3,"(4,737)","
    A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.    "
1,Sheldon,103.0,307.0,33.55048859934853,18,18,2,"
            22 Sep. 2008
    ",The Bad Fish Paradigm,8.3,"(2,983)","
    Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.    "
1,Sheldon,103.0,307.0,33.55048859934853,41,41,3,"
            21 Sep. 2009
    ",The Electric Can Opener Fluctuation,8.5,"(2,838)","
    After returning from the North Pole, a conflict among the guys sends Sheldon back to Texas and interferes with Leonard's reunion with Penny.    "
