index,Unnamed: 0,Season,Episode_Number,Air date,Title,Rating,Votes,Plot
0,0,1,0,"
            1 May 2006
    ",Unaired Pilot,6.7,"(1,641)","
    The first Pilot of what will become ""The Big Bang Theory"". Leonard and Sheldon are two awkward scientists who share an apartment. They meet a drunk girl called Katie and invite her to stay at their place, because she has nowhere to stay. The two guys have a female friend, also a scientist, called Gilda.    "
1,1,1,1,"
            24 Sep. 2007
    ",Pilot,8.3,"(4,737)","
    A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite.    "
2,2,1,2,"
            1 Oct. 2007
    ",The Big Bran Hypothesis,8.4,"(3,716)","
    Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.    "
3,3,1,3,"
            8 Oct. 2007
    ",The Fuzzy Boots Corollary,7.8,"(3,251)","
    Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him.    "
4,4,1,4,"
            15 Oct. 2007
    ",The Luminous Fish Effect,8.2,"(3,311)","
    Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.    "
5,5,1,5,"
            22 Oct. 2007
    ",The Hamburger Postulate,8.0,"(3,116)","
    Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand.    "
6,6,1,6,"
            29 Oct. 2007
    ",The Middle Earth Paradigm,8.5,"(3,281)","
    The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt.    "
7,7,1,7,"
            5 Nov. 2007
    ",The Dumpling Paradox,8.2,"(3,067)","
    When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys.    "
8,8,1,8,"
            12 Nov. 2007
    ",The Grasshopper Experiment,8.3,"(3,087)","
    When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol.    "
9,9,1,9,"
            17 Mar. 2008
    ",The Cooper-Hofstadter Polarization,8.1,"(2,979)","
    Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't.    "
10,10,1,10,"
            24 Mar. 2008
    ",The Loobenfeld Decay,8.2,"(3,042)","
    Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it.    "
11,11,1,11,"
            31 Mar. 2008
    ",The Pancake Batter Anomaly,8.3,"(3,027)","
    When Sheldon gets sick, Leonard, Howard and Raj go AWOL, leaving a reluctant Penny to deal with him.    "
12,12,1,12,"
            14 Apr. 2008
    ",The Jerusalem Duality,8.0,"(2,881)","
    Sheldon decides to give up his work and focus on other tasks when a 15-year-old prodigy joins the university, so the other guys come up with a plan to get rid of him.    "
13,13,1,13,"
            21 Apr. 2008
    ",The Bat Jar Conjecture,8.4,"(2,969)","
    Sheldon becomes so intent on demonstrating his intellectual superiority over the other guys that they kick him off the Physics Bowl team and replace him with his nemesis, Leslie.    "
14,14,1,14,"
            28 Apr. 2008
    ",The Nerdvana Annihilation,8.2,"(2,940)","
    Penny gets mad at the guys when their full scale model of a time machine causes her to miss work, which prompts Leonard to give up all of his nerd memorabilia.    "
15,15,1,15,"
            5 May 2008
    ",The Pork Chop Indeterminacy,8.4,"(3,099)","
    Leonard, Howard and Raj fight over Sheldon's twin sister when she arrives in town. Raj takes part in a drug trial to suppress his selective mutism.    "
16,16,1,16,"
            12 May 2008
    ",The Peanut Reaction,8.4,"(2,908)","
    When Penny learns that Leonard has never had a birthday party, she and the rest of the guys plan a surprise party for him.    "
17,17,1,17,"
            19 May 2008
    ",The Tangerine Factor,8.6,"(3,059)","
    After a bad breakup, Penny finally agrees to go out on a date with Leonard, however they both develop doubts and turn to Sheldon for advice.    "
18,18,2,1,"
            22 Sep. 2008
    ",The Bad Fish Paradigm,8.3,"(2,983)","
    Leonard becomes concerned when his date with Penny ends abruptly and she starts blowing him off. When told the truth, Sheldon would rather move out than keep Penny's reasons a secret from Leonard.    "
19,19,2,2,"
            29 Sep. 2008
    ",The Codpiece Topology,8.2,"(2,722)","
    Sheldon is annoyed when Leonard turns to Leslie for comfort after seeing Penny with another guy.    "
20,20,2,3,"
            6 Oct. 2008
    ",The Barbarian Sublimation,8.8,"(3,184)","
    Sheldon introduces Penny to online gaming, however she refuses to quit after becoming addicted.    "
21,21,2,4,"
            13 Oct. 2008
    ",The Griffin Equivalency,8.1,"(2,737)","
    The guys struggle to cope with Raj's arrogance after he is featured in a People magazine article.    "
22,22,2,5,"
            20 Oct. 2008
    ",The Euclid Alternative,8.4,"(2,805)","
    Sheldon annoys the gang when Leonard can't drive him to and from work, so they try to teach him how to drive.    "
23,23,2,6,"
            3 Nov. 2008
    ",The Cooper-Nowitzki Theorem,8.3,"(2,838)","
    Sheldon is flattered when a graduate student takes a shine to him, however her extreme devotion becomes too much to handle.    "
24,24,2,7,"
            10 Nov. 2008
    ",The Panty Piñata Polarization,8.8,"(3,016)","
    Penny plans revenge when Sheldon bans her from his and Leonard's apartment, while Howard and Raj use the latest technology to try to find the house being used in ""America's Next Top Model.""    "
