title,season,episode,Leonard,Sheldon,Penny,Raj,Howard,Bernadette,Amy,Stuart,rating
Pilot,1,1,37.23723723723724,30.930930930930934,18.01801801801802,0.9009009009009009,5.105105105105105,0.0,0.0,0.0,8.3
The Big Bran Hypothesis,1,2,33.46774193548387,28.225806451612907,16.532258064516128,2.0161290322580645,6.451612903225806,0.0,0.0,0.0,8.4
The Fuzzy Boots Corollary,1,3,39.768339768339764,18.91891891891892,14.671814671814673,3.861003861003861,9.266409266409266,0.0,0.0,0.0,7.8
The Luminous Fish Effect,1,4,18.907563025210084,33.193277310924366,12.605042016806722,0.8403361344537815,2.5210084033613445,0.0,0.0,0.0,8.2
The Hamburger Postulate,1,5,28.879310344827587,23.70689655172414,15.948275862068966,2.586206896551724,4.741379310344827,0.0,0.0,0.0,8.0
The Middle Earth Paradigm,1,6,29.457364341085274,26.356589147286826,16.27906976744186,3.488372093023256,8.13953488372093,0.0,0.0,0.0,8.5
The Dumpling Paradox,1,7,23.367697594501717,26.46048109965636,18.900343642611684,5.498281786941581,8.59106529209622,0.0,0.0,0.0,8.2
The Grasshopper Experiment,1,8,14.444444444444443,18.88888888888889,10.0,23.333333333333332,7.777777777777778,0.0,0.0,0.0,8.3
The Cooper-Hofstadter Polarization,1,9,30.76923076923077,25.213675213675213,23.504273504273502,2.1367521367521367,7.264957264957266,0.0,0.0,0.0,8.1
The Loobenfeld Decay,1,10,32.340425531914896,33.191489361702125,14.468085106382977,1.702127659574468,3.829787234042553,0.0,0.0,0.0,8.2
The Pancake Batter Anomaly,1,11,26.459143968871597,26.848249027237355,16.342412451361866,3.501945525291829,12.840466926070038,0.0,0.0,0.0,8.3
The Jerusalem Duality,1,12,22.22222222222222,24.279835390946502,2.4691358024691357,9.465020576131687,14.814814814814813,0.0,0.0,0.0,8.0
The Bat Jar Conjecture,1,13,26.037735849056602,23.77358490566038,9.811320754716983,6.415094339622642,12.452830188679245,0.0,0.0,0.0,8.4
The Nerdvana Annihilation,1,14,30.04115226337449,23.456790123456788,10.2880658436214,16.049382716049383,9.465020576131687,0.0,0.0,0.0,8.2
The Pork Chop Indeterminacy,1,15,21.370967741935484,23.387096774193548,5.64516129032258,7.661290322580645,14.516129032258066,0.0,0.0,0.0,8.4
The Peanut Reaction,1,16,14.516129032258066,20.161290322580644,26.61290322580645,1.6129032258064515,21.774193548387096,0.0,0.0,0.0,8.4
The Tangerine Factor,1,17,28.50877192982456,22.807017543859647,28.50877192982456,1.3157894736842104,6.140350877192982,0.0,0.0,0.0,8.6
